Data Path,Object Name,Segmentation Method,Reconstruction Method,mean usdf,mean sdf,mean squared sdf,mean haus dist,min haus dist,max haus dist,RMS haus dist
Data_stuck,YcbCrackerBox,BackFlow,robot-joints,0.0007334679,-0.00027540902,3.3406473e-06,0.0007232257630676031,7.29303201296716e-06,0.01850786805152893,0.0018140141619369388
Data_stuck,YcbCrackerBox,OSVOS,point-to-plane,0.00043256313,-7.1560215e-05,3.7524508e-06,0.0007909528794698417,1.5560190149699338e-05,0.018307330086827278,0.0019010548712685704
Data_stuck,YcbCrackerBox,OSVOS,robot-joints,0.0006978303,-0.00031224074,1.7040096e-06,0.0007623317651450634,7.29303201296716e-06,0.01850786805152893,0.0019452923443168402
Data,YcbSugarBox,BackFlow,point-to-plane,0.0021762035,0.0019545308,9.374508e-05,0.00046479166485369205,2.0023495380883105e-05,0.004001856781542301,0.0005546659231185913
Data,YcbSugarBox,BackFlow,robot-joints,0.0023990374,0.0019591781,7.2791896e-05,0.0006032648961991072,1.6410071111749858e-05,0.0055739437229931355,0.0007926761754788458
Data,YcbSugarBox,OSVOS,point-to-plane,0.00081654004,0.0005802378,3.3677457e-05,0.00043769285548478365,5.3325029512052424e-06,0.0037882120814174414,0.0005122748552821577
Data,YcbSugarBox,OSVOS,robot-joints,0.0013012359,0.00084991404,6.159279e-06,0.0006180362543091178,1.6410071111749858e-05,0.0055739437229931355,0.0008155718678608537
Data_stuck,YcbSugarBox,BackFlow,point-to-plane,0.0011749703,0.0009152183,2.3354001e-05,0.00036343492683954537,1.9130082364426926e-05,0.007834333926439285,0.00048654864076524973
Data_stuck,YcbSugarBox,BackFlow,robot-joints,0.0013440109,0.00018857699,1.640495e-05,0.00045888146269135177,2.269919241371099e-05,0.007712779100984335,0.0005791235598735511
Data_stuck,YcbSugarBox,OSVOS,point-to-plane,0.000766723,0.0005731389,4.6380296e-06,0.0004612547345459461,9.329406566394027e-06,0.008007094264030457,0.0005911526386626065
Data_stuck,YcbSugarBox,OSVOS,robot-joints,0.0008817409,-0.00027303508,4.5416446e-06,0.00046620407374575734,2.269919241371099e-05,0.007712779100984335,0.0005783825181424618
Data,YcbBanana,BackFlow,point-to-plane,0.23854913,0.23854475,0.058648285,0.027722401544451714,4.8672907723812386e-05,0.08295679837465286,0.03711174428462982
Data,YcbBanana,BackFlow,robot-joints,0.006796192,0.003001396,0.00010656223,0.002036650897935033,5.330072599463165e-05,0.010882183909416199,0.002781318500638008
Data,YcbBanana,OSVOS,point-to-plane,0.0013260334,0.0011724175,1.1787976e-05,0.0008356982143595815,3.7540937682933873e-06,0.007129269186407328,0.0011829995783045888
Data,YcbBanana,OSVOS,robot-joints,0.0061523193,0.002282673,8.141126e-05,0.0018146972870454192,3.5910717997467145e-05,0.010882183909416199,0.002578972140327096
Data_stuck,YcbBanana,BackFlow,point-to-plane,0.0042030583,0.0038648872,0.0003022306,0.0007889443659223616,2.0257573851267807e-05,0.007746206596493721,0.0010921515058726072
Data_stuck,YcbBanana,BackFlow,robot-joints,0.0020515746,0.0014977833,7.8023e-05,0.00047981750685721636,1.686753603280522e-05,0.008436175063252449,0.0007008753018453717
Data_stuck,YcbBanana,OSVOS,point-to-plane,0.0007789103,0.0006376149,2.1671607e-05,0.0003731940232682973,1.4764555089641362e-05,0.008396745659410954,0.0005947540630586445
Data_stuck,YcbBanana,OSVOS,robot-joints,0.00089590234,0.00033165887,1.7299242e-05,0.000415216782130301,1.686753603280522e-05,0.008430053479969501,0.0006221492658369243
Data,YcbTennisBall,BackFlow,point-to-plane,9.688279,9.68801,200.3839,0.0008933332283049822,2.753830631263554e-05,0.011143160052597523,0.0013916301541030407
Data,YcbTennisBall,BackFlow,robot-joints,0.003390051,0.0010854688,8.067901e-05,0.0009210769203491509,2.307931390532758e-05,0.005236983764916658,0.0011590346693992615
Data,YcbTennisBall,OSVOS,point-to-plane,0.009011118,0.008746508,0.006141686,0.0026855305768549442,2.2436111976276152e-05,0.02107514813542366,0.00454286253079772
Data,YcbTennisBall,OSVOS,robot-joints,0.002057259,-0.00039532327,2.010562e-05,0.0009173534926958382,7.716960681136698e-06,0.00507052056491375,0.0011475636856630445
Data_stuck,YcbTennisBall,BackFlow,point-to-plane,0.45461795,0.45460588,0.27232552,0.003164948895573616,2.152243905584328e-05,0.022918924689292908,0.005867485888302326
Data_stuck,YcbTennisBall,BackFlow,robot-joints,0.0015343684,0.0010954778,2.5244934e-05,0.0004497546178754419,1.0528338862059172e-05,0.00669827638193965,0.0006691673770546913
Data_stuck,YcbTennisBall,OSVOS,point-to-plane,0.015826488,0.015701545,0.013438833,0.002624139655381441,1.7310689145233482e-05,0.024915892630815506,0.005065810866653919
Data_stuck,YcbTennisBall,OSVOS,robot-joints,0.0010282884,0.0005714896,4.3598582e-05,0.00046382276923395693,1.360806891170796e-05,0.006669335067272186,0.0007126519340090454
